Relation Name	Module	Level	Context	Notation	Formal Definition	OWL Characteristics	OWL / CCO Realization	subPropertyOf	Domain	Range	IRI	Provenance	Notes
Binary Relation	—	Meta	FOL	R(x,y)	subset of X × Y	—	Not representable	—	—	—	—	[STABLE-TEXT]	Schema-level; not a property in OWL; no module assignment
Difference	—	Instance-level	Logic	x ≠ y	Distinctness	—	Built-in	—	—	—	owl:differentFrom	[STABLE-TEXT]	W3C standard vocabulary; lifter handles natively; no module assignment
Disjointness	—	Class-level	Logic	A ∩ B = ∅	¬∃x (x ∈ A ∧ x ∈ B)	—	Built-in	—	—	—	owl:disjointWith	[STABLE-TEXT]	W3C standard vocabulary; lifter handles natively; no module assignment
Equivalence Relation	—	Meta	Algebra	x ~ y	Reflexive ∧ Symmetric ∧ Transitive	owl:ReflexiveProperty + owl:SymmetricProperty + owl:TransitiveProperty	Combine three characteristics on one ObjectProperty	—	—	—	—	[STABLE-TEXT]	Permitted but rare outside identity-like properties; no module assignment
Identity	—	Instance-level	Logic	x = y	Identity	—	Built-in	—	—	—	owl:sameAs	[STABLE-TEXT]	W3C standard vocabulary; lifter handles natively; no module assignment
Instantiation	—	Cross-level	Logic	x ∈ A at t	Temporalized membership	—	—	—	—	—	—	[STABLE-TEXT]	Temporalized instantiation requires ternary workarounds in OWL; no module assignment
Intersection	—	Class-level	Set Theory	A ∩ B	x ∈ A ∧ x ∈ B	—	Built-in	—	—	—	owl:intersectionOf	[STABLE-TEXT]	W3C standard vocabulary; lifter handles natively; no module assignment
Membership	—	Class-level	Set Theory	x ∈ A	Primitive	—	Built-in	—	—	—	rdf:type	[STABLE-TEXT]	W3C standard vocabulary; lifter handles natively; no module assignment
Partial Order	—	Meta	Algebra	x ⪯ y	Reflexive ∧ Antisymmetric ∧ Transitive	owl:ReflexiveProperty + owl:TransitiveProperty	Antisymmetry NOT OWL-expressible	—	—	—	—	[STABLE-TEXT]	Antisymmetry must live in CL/FOL axiom layer; no module assignment
Proper Subset	—	Class-level	Set Theory	A ⊂ B	A ⊆ B ∧ A ≠ B	—	subClassOf + class inequality	rdfs:subClassOf	—	—	—	[STABLE-TEXT]	Definition only; not directly expressible as a primitive; no module assignment
Strict Partial Order	—	Meta	Algebra	x ≺ y	Irreflexive ∧ Transitive	Cannot combine in OWL 2 DL	Annotation only	—	—	—	—	[STABLE-TEXT]	OWL 2 forbids Transitive + (Irreflexive ∨ Asymmetric) for decidability; no module assignment
Subset	—	Class-level	Set Theory	A ⊆ B	∀x (x ∈ A → x ∈ B)	—	Built-in	—	—	—	rdfs:subClassOf	[STABLE-TEXT]	W3C standard vocabulary; lifter handles natively; no module assignment
Union	—	Class-level	Set Theory	A ∪ B	x ∈ A ∨ x ∈ B	—	Built-in	—	—	—	owl:unionOf	[STABLE-TEXT]	W3C standard vocabulary; lifter handles natively; no module assignment
Bearer Of	core/bfo-2020	Instance-level	Dependence	—	—	—	BFO	—	Independent Continuant	Specifically Dependent Continuant	obo:BFO_0000196	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Concretizes	core/bfo-2020	Instance-level	Information	—	—	—	BFO	—	Specifically Dependent Continuant	Generically Dependent Continuant	obo:BFO_0000059	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
Continuant Part Of	core/bfo-2020	Instance-level	Mereology	—	—	owl:TransitiveProperty	BFO	—	Continuant	Continuant	obo:BFO_0000176	[QUERIED-BFO]	Verified against loaded BFO 2020 in triplestore
