Relation Name	Level	Context	Notation	Formal Definition	OWL Characteristics	OWL / CCO Realization	subPropertyOf	Domain	Range	IRI	Notes
Binary Relation	Meta	FOL	R(x,y)	subset of X × Y	n/a	Not representable	—	—	—	—	Schema-level; not a property in OWL
Equivalence Relation	Meta	Algebra	x ~ y	Reflexive ∧ Symmetric ∧ Transitive	owl:ReflexiveProperty + owl:SymmetricProperty + owl:TransitiveProperty	Combine three characteristics on one ObjectProperty	—	—	—	—	Permitted but rare outside identity-like properties
Partial Order	Meta	Algebra	x ⪯ y	Reflexive ∧ Antisymmetric ∧ Transitive	owl:ReflexiveProperty + owl:TransitiveProperty	Antisymmetry NOT OWL-expressible	—	—	—	—	Antisymmetry must live in CL/FOL axiom layer
Strict Partial Order	Meta	Algebra	x ≺ y	Irreflexive ∧ Transitive	Cannot combine in OWL 2 DL	Annotation only	—	—	—	—	OWL 2 forbids Transitive + (Irreflexive ∨ Asymmetric) for decidability
Membership	Class-level	Set Theory	x ∈ A	Primitive	n/a	Built-in	—	—	—	rdf:type	
Subset	Class-level	Set Theory	A ⊆ B	∀x (x ∈ A → x ∈ B)	n/a	Built-in	—	—	—	rdfs:subClassOf	
Proper Subset	Class-level	Set Theory	A ⊂ B	A ⊆ B ∧ A ≠ B	n/a	subClassOf + class inequality	rdfs:subClassOf	—	—	—	Not directly expressible as a primitive
Equality (Individuals)	Class-level	Logic	x = y	Identity	n/a	Built-in	—	—	—	owl:sameAs	
Inequality (Individuals)	Class-level	Logic	x ≠ y	Distinctness	n/a	Built-in	—	—	—	owl:differentFrom	
Equality (Classes)	Class-level	Logic	A = B	mutual subset	n/a	Built-in	—	—	—	owl:equivalentClass	
Equality (Properties)	Class-level	Logic	P = Q	mutual subProperty	n/a	Built-in	—	—	—	owl:equivalentProperty	Relevant for vocabulary alignment
Disjointness (Classes)	Class-level	Logic	A ∩ B = ∅	¬∃x (x ∈ A ∧ x ∈ B)	n/a	Built-in	—	—	—	owl:disjointWith	Class-level analogue of mereological disjointness
Part Of	Object-level	Mereology	P(x,y)	Reflexive ∧ Antisymmetric ∧ Transitive (CL)	owl:TransitiveProperty (only)	obo:BFO_0000050	—	Entity	Entity	obo:BFO_0000050	CL definition diverges from OWL: reflexivity & antisymmetry not declared in BFO 2020 OWL
Has Part	Object-level	Mereology	HP(x,y)	inverse of part_of	owl:TransitiveProperty + owl:inverseOf BFO_0000050	obo:BFO_0000051	—	Entity	Entity	obo:BFO_0000051	
Continuant Part Of	Object-level	Mereology	CP(x,y,t)	parthood-at-a-time among continuants	owl:TransitiveProperty	obo:BFO_0000176	obo:BFO_0000050	Continuant	Continuant	obo:BFO_0000176	Truly ternary; OWL binary form is approximation
Has Continuant Part	Object-level	Mereology	—	inverse	owl:TransitiveProperty + owl:inverseOf	obo:BFO_0000178	obo:BFO_0000051	Continuant	Continuant	obo:BFO_0000178	
Occurrent Part Of	Object-level	Mereology	OP(x,y)	parthood among occurrents	owl:TransitiveProperty	obo:BFO_0000132	obo:BFO_0000050	Occurrent	Occurrent	obo:BFO_0000132	
Has Occurrent Part	Object-level	Mereology	—	inverse	owl:TransitiveProperty + owl:inverseOf	obo:BFO_0000117	obo:BFO_0000051	Occurrent	Occurrent	obo:BFO_0000117	
Temporal Part Of	Object-level	Mereology	—	occurrent parthood specialised to temporal stages	owl:TransitiveProperty	obo:BFO_0000219	obo:BFO_0000132	Occurrent	Occurrent	obo:BFO_0000219	Now correctly under occurrent_part_of
Has Temporal Part	Object-level	Mereology	—	inverse	owl:TransitiveProperty + owl:inverseOf	obo:BFO_0000218	obo:BFO_0000117	Occurrent	Occurrent	obo:BFO_0000218	
Member Part Of	Object-level	Mereology	—	aggregate membership	—	obo:BFO_0000129	obo:BFO_0000176	Object	Object Aggregate	obo:BFO_0000129	
Has Member Part	Object-level	Mereology	—	inverse	owl:inverseOf	obo:BFO_0000115	obo:BFO_0000178	Object Aggregate	Object	obo:BFO_0000115	
Proper Part Of	Object-level	Mereology	PP(x,y)	P(x,y) ∧ ¬P(y,x)	Transitive + Asymmetric (defined)	Derived; not a BFO OWL primitive	obo:BFO_0000050	Entity	Entity	—	Definition only
Overlaps	Object-level	Mereology	O(x,y)	∃z (P(z,x) ∧ P(z,y))	Symmetric + Reflexive	obo:RO_0002131	—	Entity	Entity	obo:RO_0002131	
Proper Overlap	Object-level	Mereology	PO(x,y)	O(x,y) ∧ ¬P(x,y) ∧ ¬P(y,x)	Symmetric + Irreflexive (defined)	Derived	obo:RO_0002131	Entity	Entity	—	Definition only
Underlaps	Object-level	Mereology	U(x,y)	∃z (P(x,z) ∧ P(y,z))	Symmetric + Reflexive (defined)	Non-core	—	Entity	Entity	—	Optional; not in BFO/CCO core
Disjoint (mereological)	Object-level	Mereology	D(x,y)	¬O(x,y)	Symmetric + Irreflexive	Not OWL-expressible at individual level	—	Entity	Entity	—	Class-level analogue: owl:disjointWith
Participates In	Object-level	Participation	—	Continuant takes part in Occurrent	—	obo:BFO_0000056	—	Continuant	Occurrent	obo:BFO_0000056	
Has Participant	Object-level	Participation	—	inverse	owl:inverseOf	obo:BFO_0000057	—	Occurrent	Continuant	obo:BFO_0000057	
Realizes	Object-level	Realization	—	Process realizes Realizable Entity	—	obo:BFO_0000055	—	Process	Role ∪ Disposition ∪ Function	obo:BFO_0000055	BFO narrows realizable to role/disposition/function
Realized In	Object-level	Realization	—	inverse	owl:inverseOf	obo:BFO_0000054	—	Role ∪ Disposition ∪ Function	Process	obo:BFO_0000054	
Inheres In	Object-level	Dependence	—	SDC inheres in Independent Continuant	—	obo:BFO_0000197	obo:BFO_0000084	Specifically Dependent Continuant	Independent Continuant	obo:BFO_0000197	
Bearer Of	Object-level	Dependence	—	inverse of inheres_in	owl:inverseOf	obo:BFO_0000196	obo:BFO_0000195	Independent Continuant	Specifically Dependent Continuant	obo:BFO_0000196	
Specifically Depends On	Object-level	Dependence	—	SDC specifically depends on Entity	—	obo:BFO_0000084	—	Specifically Dependent Continuant	Entity	obo:BFO_0000084	
